model_id, fold, beta_1, lr, recurrent_dropout, lstm_units, epoch, loss, acc, f1, val_loss, val_acc, val_f1, time
1, 3, 0.8049074844981889, 0.00025034795207607254, 0.2, 32.0, 200, 0.509057879447937, 0.7522146701812744, 0.36077868938446045, 0.5003260970115662, 0.7213931083679199, 0.35127687454223633, 219.0858256816864
1, 5, 0.8049074844981889, 0.00025034795207607254, 0.2, 32.0, 51, 0.6636754274368286, 0.7621452808380127, 0.44213345646858215, 0.662396252155304, 0.7617554664611816, 0.36332079768180847, 202.8804225921631
1, 9, 0.8049074844981889, 0.00025034795207607254, 0.2, 32.0, 112, 0.5340040922164917, 0.7488831877708435, 0.31173932552337646, 0.5455776453018188, 0.8246268033981323, 0.5347272157669067, 219.35914731025696
2, 3, 0.872714516792624, 0.00048360580303648997, 0.1, 46.0, 147, 0.49897751212120056, 0.7180823087692261, 0.36662423610687256, 0.474189817905426, 0.757462739944458, 0.43668392300605774, 219.39657282829285
2, 5, 0.872714516792624, 0.00048360580303648997, 0.1, 46.0, 200, 0.45384538173675537, 0.7835498452186584, 0.39395901560783386, 0.5112462043762207, 0.7993729710578918, 0.3921361565589905, 203.5418643951416
2, 9, 0.872714516792624, 0.00048360580303648997, 0.1, 46.0, 198, 0.4265475273132324, 0.8168474435806274, 0.47045525908470154, 0.39376580715179443, 0.8246268630027771, 0.5572412014007568, 219.12439036369324
3, 3, 0.783447470862936, 0.007406130500931029, 0.3, 34.0, 60, 0.5250093936920166, 0.741792619228363, 0.4164571166038513, 0.4981464445590973, 0.7947762608528137, 0.543453574180603, 221.02752161026
3, 5, 0.783447470862936, 0.007406130500931029, 0.3, 34.0, 129, 0.41043156385421753, 0.8042328953742981, 0.4939742982387543, 0.4881402850151062, 0.8260188698768616, 0.6652420163154602, 203.05246138572693
3, 9, 0.783447470862936, 0.007406130500931029, 0.3, 34.0, 176, 0.3938521146774292, 0.840459406375885, 0.5510460138320923, 0.3755704462528229, 0.8572760820388794, 0.6638683080673218, 219.0801122188568
4, 3, 0.8789367248897613, 0.0003731812555690003, 0.2, 44.0, 185, 0.5053312182426453, 0.7290255427360535, 0.34793004393577576, 0.5124406814575195, 0.7437812089920044, 0.45062753558158875, 220.46321296691895
4, 5, 0.8789367248897613, 0.0003731812555690003, 0.2, 44.0, 180, 0.45625728368759155, 0.776094377040863, 0.3802492320537567, 0.5493696331977844, 0.7742946147918701, 0.36264562606811523, 202.67532873153687
4, 9, 0.8789367248897613, 0.0003731812555690003, 0.2, 44.0, 200, 0.4111666977405548, 0.8181236982345581, 0.4195166528224945, 0.4388447105884552, 0.7882463335990906, 0.5317610502243042, 217.9525580406189
5, 3, 0.8745012409524188, 0.00567318257659961, 0.3, 36.0, 109, 0.4774790406227112, 0.7613340616226196, 0.5134226679801941, 0.4332141876220703, 0.8047263622283936, 0.5219299793243408, 219.89318799972534
5, 5, 0.8745012409524188, 0.00567318257659961, 0.3, 36.0, 155, 0.43679237365722656, 0.8051948547363281, 0.5337885022163391, 0.5387214422225952, 0.7570533156394958, 0.6076449751853943, 202.41061544418335
5, 9, 0.8745012409524188, 0.00567318257659961, 0.3, 36.0, 179, 0.3243923783302307, 0.8602424263954163, 0.5386962890625, 0.40774261951446533, 0.8442164063453674, 0.7120299935340881, 218.9090530872345
6, 3, 0.7532793635075535, 0.0015185594706814355, 0.3, 54.0, 124, 0.4760075807571411, 0.7540385127067566, 0.42022937536239624, 0.4660665988922119, 0.7699005007743835, 0.5259546041488647, 220.10210537910461
6, 5, 0.7532793635075535, 0.0015185594706814355, 0.3, 54.0, 131, 0.427497923374176, 0.8126503825187683, 0.4653601348400116, 0.45654749870300293, 0.8291535377502441, 0.5394790172576904, 202.89800214767456
6, 9, 0.7532793635075535, 0.0015185594706814355, 0.3, 54.0, 162, 0.3972896635532379, 0.8305678367614746, 0.4751153290271759, 0.39029282331466675, 0.8376866579055786, 0.6512842178344727, 218.08383870124817
