model_id, fold, beta_1, lr, recurrent_dropout, lstm_units, epoch, loss, acc, f1, val_loss, val_acc, val_f1, time
1, 3, 0.822613824254661, 0.0003539767189053947, 0.3, 40.0, 196, 0.3362053276164386, 0.8545910583118898, 0.5276815633465686, 0.5402065515518188, 0.7549751400947571, 0.4554663896560669, 1369.8466029167175
1, 5, 0.822613824254661, 0.0003539767189053947, 0.3, 40.0, 68, 0.4132493751991707, 0.823415427926987, 0.44251978669733083, 0.5105668306350708, 0.7821316123008728, 0.5403884649276733, 1587.397929430008
1, 9, 0.822613824254661, 0.0003539767189053947, 0.3, 40.0, 161, 0.260443634585963, 0.8948246663211635, 0.5598687311038898, 0.4916538596153259, 0.8190299272537231, 0.6322713494300842, 1241.7124962806702
2, 3, 0.9278349387906295, 0.00025304247326501163, 0.2, 46.0, 97, 0.36081892401057647, 0.8367491248003078, 0.5141382270209673, 0.5332472324371338, 0.7786070704460144, 0.4463289976119995, 1233.1830041408539
2, 5, 0.9278349387906295, 0.00025304247326501163, 0.2, 46.0, 163, 0.36614362258301036, 0.8386198406955725, 0.46877647263319117, 0.5113899111747742, 0.8072099685668945, 0.6026111245155334, 1356.9236297607422
2, 9, 0.9278349387906295, 0.00025304247326501163, 0.2, 46.0, 136, 0.32759797997206885, 0.8691450587563554, 0.5051033762357915, 0.4182758033275604, 0.8152984976768494, 0.6021710634231567, 1067.6526470184326
3, 3, 0.7545615410199931, 0.00018134000156265161, 0.3, 58.0, 156, 0.3216872612842363, 0.8605349973317793, 0.5400218151086565, 0.4834074378013611, 0.7960199117660522, 0.36240559816360474, 1216.573178768158
3, 5, 0.7545615410199931, 0.00018134000156265161, 0.3, 58.0, 191, 0.3637626880117768, 0.8419847475501882, 0.4880552884332832, 0.5974963903427124, 0.7304075360298157, 0.5507786273956299, 1338.0578129291534
3, 9, 0.7545615410199931, 0.00018134000156265161, 0.3, 58.0, 189, 0.31121626199623087, 0.8740068569484606, 0.5038607487575066, 0.5150426626205444, 0.7919776439666748, 0.5962883234024048, 1050.343388557434
4, 3, 0.8197551850469583, 0.004629436420843053, 0.4, 40.0, 190, 0.1714671880099971, 0.9319584847366269, 0.6936853817504418, 0.6228101849555969, 0.8283583521842957, 0.49694743752479553, 1226.0859515666962
4, 5, 0.8197551850469583, 0.004629436420843053, 0.4, 40.0, 56, 0.23114980398146448, 0.9062447266661243, 0.5949236145381919, 0.5582013726234436, 0.7366770505905151, 0.5682615637779236, 1361.474389076233
4, 9, 0.8197551850469583, 0.004629436420843053, 0.4, 40.0, 83, 0.17421534142071227, 0.9336254485640925, 0.6166484109824375, 0.6799154281616211, 0.8199627995491028, 0.6402923464775085, 1065.7618272304535
5, 3, 0.726043865414293, 0.00028752467663995256, 0.3, 52.0, 194, 0.28842535145957376, 0.8754770736510459, 0.5457484027940572, 0.5595594644546509, 0.7835820913314819, 0.5261194705963135, 1208.3276782035828
5, 5, 0.726043865414293, 0.00028752467663995256, 0.3, 52.0, 146, 0.3695447306870382, 0.8375048944157669, 0.4645569151757485, 0.4746665954589844, 0.8260188102722168, 0.5554997324943542, 1337.5411314964294
5, 9, 0.726043865414293, 0.00028752467663995256, 0.3, 52.0, 193, 0.28826968827366295, 0.8811295715272998, 0.5420606552451449, 0.44409847259521484, 0.8544776439666748, 0.6662771701812744, 1044.7145161628723
6, 3, 0.915571287096139, 0.002385645818824732, 0.3, 34.0, 105, 0.24581810178205082, 0.8972936670192522, 0.6420142773292287, 0.6337417364120483, 0.798507571220398, 0.44558191299438477, 1214.7228043079376
6, 5, 0.915571287096139, 0.002385645818824732, 0.3, 34.0, 51, 0.27415594085871803, 0.8791579335798949, 0.5693311361867456, 0.5746641159057617, 0.777429461479187, 0.5980901718139648, 1341.8890058994293
6, 9, 0.915571287096139, 0.002385645818824732, 0.3, 34.0, 90, 0.2826234627545983, 0.8804908623038087, 0.5370679104411837, 0.3773265480995178, 0.8516791462898254, 0.6874176263809204, 1049.8215165138245
7, 3, 0.905613347996999, 0.00014737929781737314, 0.4, 52.0, 200, 0.34929265616895505, 0.8488750491619359, 0.5056413942292807, 0.4990922808647156, 0.7736318111419678, 0.3774501383304596, 1229.3062145709991
7, 5, 0.905613347996999, 0.00014737929781737314, 0.4, 52.0, 56, 0.4350879457261827, 0.801248340838342, 0.41286822075508944, 0.5608512163162231, 0.7711598873138428, 0.46902263164520264, 1355.8456592559814
7, 9, 0.905613347996999, 0.00014737929781737314, 0.4, 52.0, 185, 0.3115210981983703, 0.8702318294837966, 0.5107849039845811, 0.42637938261032104, 0.8339552283287048, 0.6218176484107971, 1056.443517446518
8, 3, 0.7030073594398306, 0.00015544874995982526, 0.2, 28.0, 82, 0.4407086902884781, 0.7922303049498514, 0.4465509110313334, 0.4859892725944519, 0.7786070704460144, 0.42835453152656555, 1216.9790289402008
8, 5, 0.7030073594398306, 0.00015544874995982526, 0.2, 28.0, 189, 0.38837069099542326, 0.8370226721685629, 0.4812613697565766, 0.5186525583267212, 0.7758620381355286, 0.5398085117340088, 1351.3826446533203
8, 9, 0.7030073594398306, 0.00015544874995982526, 0.2, 28.0, 129, 0.3676986839068339, 0.8486297922143529, 0.48533030184272297, 0.36266371607780457, 0.8442164659500122, 0.593570351600647, 1055.9438216686249
9, 3, 0.8242810782969219, 0.002125223218049835, 0.3, 58.0, 137, 0.4005913472753319, 0.8141141891665854, 0.5255316985405132, 0.5679148435592651, 0.7450249791145325, 0.48773983120918274, 1206.109038591385
9, 5, 0.8242810782969219, 0.002125223218049835, 0.3, 58.0, 95, 0.22716736266709336, 0.9063536120240879, 0.5768902301501632, 0.5563269853591919, 0.7789969444274902, 0.5811882019042969, 1337.702871799469
9, 9, 0.8242810782969219, 0.002125223218049835, 0.3, 58.0, 84, 0.26508448201147855, 0.8939696930363137, 0.5601136988336749, 0.6166512966156006, 0.8106343746185303, 0.6351457238197327, 1049.871012210846
10, 3, 0.7301516765462451, 0.00023086449370769452, 0.1, 52.0, 111, 0.36623222614216766, 0.8390880247899305, 0.49778837888050725, 0.5252824425697327, 0.7636816501617432, 0.3937004506587982, 1214.223343372345
